transgenic_line,neurotransmitter,reporter_status,dendrite_type,layer,threshold_v,peak_v,trough_v,upstroke,upstroke_v,downstroke,downstroke_v,fast_trough_v,width,upstroke_downstroke_ratio,file_name
Glutamatergic,Glutamatergic,negative,spiny,L5,-50.843753814697266,38.656253814697266,-82.1875,441.24540267896907,-8.3125,-121.02258996636664,10.40625,-49.343753814697266,0.0006450000000000067,3.645975538960086,485934207_65
Pvalb+,GABAergic,positive,aspiny,L4,-43.093753814697266,24.5625,-71.65625762939453,452.8439851807631,-6.656250476837158,-339.9291306797026,-4.031250476837158,-62.843753814697266,0.0002949999999999342,1.3321717508448967,487405644_45
Glutamatergic,Glutamatergic,positive,spiny,L4,-46.25,40.250003814697266,-76.4375,502.3159164833699,-4.15625,-131.01820419607907,13.65625,-52.375003814697266,0.0006200000000000649,3.8339398678645797,515949222_50
Vip+,GABAergic,positive,aspiny,L2/L3,-41.906253814697266,33.875003814697266,-67.46875762939453,426.7144793372778,-8.875,-129.82436707391267,7.250000476837158,-52.843753814697266,0.0006599999999998829,3.286859693252633,524689239_40
Sst+,GABAergic,positive,aspiny,L5,-45.343753814697266,19.156251907348633,-72.15625,346.3956579797543,-11.718750953674316,-201.62109212703328,-9.75,-60.031253814697266,0.0004300000000001525,1.7180526815195725,478716304_45
Glutamatergic,Glutamatergic,positive,spiny,L4,-49.593753814697266,44.062503814697266,-79.59375762939453,589.4231596872035,-2.90625,-130.3802947218798,24.40625,-52.343753814697266,0.0006149999999998101,4.520799411786337,478500297_47
Glutamatergic,Glutamatergic,positive,spiny,L5,-37.125003814697266,30.406251907348633,-79.34375,345.0213773567226,-7.406250476837158,-100.23284768283467,-4.750000476837158,-48.5625,0.0007649999999999046,3.442198693670449,490283114_46
Glutamatergic,Glutamatergic,positive,spiny,L2/L3,-43.15625,48.281253814697266,-72.18750762939453,459.2965828460381,2.156250238418579,-96.85212694457627,26.968751907348633,-49.468753814697266,0.0008199999999998209,4.742245703172539,502100978_39
Pvalb+,GABAergic,positive,aspiny,L5,-47.84375,19.625,-75.90625762939453,501.93315439124626,-11.968750953674316,-421.48299137676025,-11.937500953674316,-67.84375,0.00024500000000005073,1.1908740439363834,482516631_61
Pvalb+,GABAergic,positive,aspiny,L5,-42.781253814697266,14.65625,-69.21875762939453,398.14617966963186,-18.406251907348633,-272.7018888612567,-4.84375,-59.875003814697266,0.000320000000000098,1.4600052142367002,574377603_72
Glutamatergic,Glutamatergic,positive,spiny,L4,-45.406253814697266,42.125,-75.40625,462.9222332480963,-0.5625000596046448,-124.8274831841125,10.09375,-51.312503814697266,0.0006399999999999739,3.7084960894814794,517977609_54
Pvalb+,GABAergic,positive,aspiny,L2/L3,-51.750003814697266,31.03125,-78.9375,481.80807793552987,-3.562500238418579,-303.5032758097989,2.34375,-54.437503814697266,0.00031999999999987594,1.5874888883817915,585805211_73
Glutamatergic,Glutamatergic,positive,spiny,L4,-47.625,38.0625,-82.21875,541.158324459566,-9.6875,-155.72133760780568,-7.375,-50.750003814697266,0.0005450000000000177,3.4751713077530093,369697038_55
Glutamatergic,Glutamatergic,positive,spiny,L4,-45.3125,38.375,-74.90625,424.6947240116173,0.375,-146.762539770162,-7.6875,-55.218753814697266,0.0005999999999999339,2.893754255525368,479225294_39
Sst+,GABAergic,positive,aspiny,L4,-47.718753814697266,27.4375,-70.3125,375.98894407605485,-4.09375,-188.250432088527,-11.312500953674316,-59.75,0.0004750000000000032,1.9972806431553984,322197295_39
Glutamatergic,Glutamatergic,positive,spiny,L4,-48.937503814697266,47.093753814697266,-77.31250762939453,560.5679680564956,-2.375000238418579,-120.58517596512895,1.8125001192092896,-51.468753814697266,0.0007150000000000212,4.648730356529079,476053392_50
Pvalb+,GABAergic,positive,aspiny,L5,-46.843753814697266,36.6875,-72.625,481.77646046571783,1.5625,-264.1626241022051,12.5625,-60.843753814697266,0.00042000000000008697,1.8237873813644336,596619013_61
Glutamatergic,Glutamatergic,positive,spiny,L4,-46.281253814697266,35.1875,-72.03125,449.4853887907798,-9.1875,-121.42494680173105,-4.625,-50.531253814697266,0.0006249999999998757,3.701754875171762,486029942_56
Htr3a+|Vip-,GABAergic,positive,aspiny,L1,-41.125003814697266,28.406251907348633,-67.90625,306.18150660858123,-5.937500476837158,-133.50062237750655,1.5,-50.031253814697266,0.0005800000000000249,2.293483739295058,555697303_65
Pvalb+,GABAergic,positive,aspiny,L5,-46.937503814697266,18.843751907348633,-76.81250762939453,442.2171239583879,-9.062500953674316,-348.2371817391522,-8.781250953674316,-65.375,0.000280000000000058,1.2698733712175272,484742372_55
Glutamatergic,Glutamatergic,positive,spiny,L5,-46.59375,34.3125,-75.0,337.50733021845514,-6.96875,-82.09940853718064,14.500000953674316,-55.28125,0.0009399999999999409,4.110959338587769,464326158_56
