dendrite_type,layer,stimulus_to_peak_t,threshold_v,peak_v,trough_v,upstroke,upstroke_v,downstroke,downstroke_v,fast_trough_v,width,upstroke_downstroke_ratio,file_name
aspiny,L3,0.0033,-38.625,40.062503814697266,-60.312503814697266,361.69697600300515,0.6875000596046448,-157.96529132046118,20.000001907348633,-60.21875,0.0006399999999999739,2.2897243627350856,545604343_14
spiny,L3,0.00346,-40.937503814697266,34.031253814697266,-71.28125762939453,251.21825137208668,-2.53125,-110.57140980778078,-14.531250953674316,-62.187503814697266,0.0009600000000000719,2.2720000749633993,505689242_18
spiny,L5,0.0033,-43.843753814697266,40.656253814697266,-64.65625,305.4037883430205,6.28125,-117.24331955518764,19.375,-52.906253814697266,0.0007399999999999629,2.604871556875902,528605746_13
spiny,L5,0.00352,-50.0,44.687503814697266,-70.09375,361.5469285798894,2.625000238418579,-100.36772635468986,26.312501907348633,-54.343753814697266,0.0008399999999999519,3.6022229626106848,541548139_11
aspiny,L3,0.00288,-52.40625,21.0625,-71.68750762939453,404.95805194555106,-17.281251907348633,-224.61842030333676,-13.468750953674316,-68.3125,0.00043999999999999595,1.8028710708528446,571525618_9
aspiny,L4,0.00358,-39.531253814697266,20.000001907348633,-61.000003814697266,365.61267317529456,-11.281250953674316,-227.92861450726247,-4.343750476837158,-56.968753814697266,0.00038000000000004697,1.6040665800811291,562380252_10
spiny,L3,-0.1825,-75.0,41.125,-76.09375,257.50469334164563,11.015625,-100.94409554663403,25.6875,-52.296875,0.0008399999999999797,2.5513110310873977,526714785_12
aspiny,L3,0.00288,-43.656253814697266,41.375003814697266,-64.71875,404.05402092555437,-1.3125001192092896,-142.123274218071,18.843751907348633,-54.968753814697266,0.0006399999999999739,2.8429827777931873,571520445_10
spiny,L3,0.00368,-40.75,38.250003814697266,-70.5,251.6556738024382,3.875000238418579,-85.07659428363692,15.406250953674316,-51.500003814697266,0.0009399999999999409,2.9579895142892436,508400454_28
spiny,L3,0.0032,-44.03125,46.8125,-74.43750762939453,345.1277185393684,8.5,-130.8019567938218,-4.343750476837158,-55.03125,0.0007599999999998719,2.6385516470780344,571624532_14
aspiny,L3,0.00298,-46.1875,26.218751907348633,-69.03125,395.3470697704452,-12.625,-222.35601244247,-8.406250953674316,-65.4375,0.00043999999999999595,1.7779913636143887,528016025_12
aspiny,L2,0.0031,-45.968753814697266,19.625,-72.40625762939453,382.7699626829629,-19.53125,-214.96669348034646,-10.3125,-67.84375,0.000460000000000127,1.7806012479694115,527944264_12
spiny,L3,0.0033,-45.437503814697266,51.28125,-72.5625,439.2999073185389,11.437500953674316,-92.61604096418822,30.75,-53.937503814697266,0.0009000000000001229,4.743237810050666,529979375_29
spiny,L6,0.00296,-42.875003814697266,45.6875,-62.656253814697266,343.75061216104825,7.0,-90.27343968139677,-14.531250953674316,-57.250003814697266,0.0009999999999998899,3.8078820677959295,596052605_10
spiny,L5,0.00348,-43.40625,47.812503814697266,-72.09375762939453,389.54917990155025,0.3437500298023224,-95.02433482185167,27.187501907348633,-54.71875,0.0008999999999999009,4.099467579876919,528617665_14
spiny,L4,0.00302,-43.78125,38.812503814697266,-72.34375,414.72501994081904,-3.343750238418579,-122.53342445627885,-4.500000476837158,-52.500003814697266,0.0006999999999999229,3.3845868731824846,508400049_13
spiny,L3,0.0037,-40.875003814697266,46.25,-71.625,331.4837182106932,2.6875,-107.67233289745103,2.0,-53.125,0.0008600000000000829,3.078634123460518,508378649_20
spiny,L3,0.00364,-44.937503814697266,44.125,-70.8125,362.4835492121315,2.250000238418579,-108.6980427021396,-15.687500953674316,-53.03125,0.0007800000000000029,3.334775311506105,508427757_30
spiny,L5,0.00356,-45.9375,44.312503814697266,-70.15625762939453,340.3360802201313,6.28125,-91.93026863922823,32.500003814697266,-55.656253814697266,0.0009400000000001629,3.702111233414845,571485304_17
spiny,L3,0.00356,-50.5,52.500003814697266,-71.56250762939453,453.46280253248347,12.656250953674316,-86.72863353947972,37.531253814697266,-50.937503814697266,0.0009399999999999409,5.228524698547946,528019077_30
aspiny,L4,0.00306,-48.96875,39.15625,-70.84375762939453,638.2355910092916,-6.343750476837158,-452.3888357206925,2.0,-70.71875,0.00027999999999983594,1.4108119843243478,545192313_12
aspiny,L3,0.00302,-47.125,32.250003814697266,-73.90625,432.62415643908764,-5.8125,-171.9040901808924,-3.187500238418579,-55.625003814697266,0.0004999999999999449,2.516660051449869,527909293_13
aspiny,L3,0.00318,-45.281253814697266,21.6875,-72.50000762939453,414.8246083320279,-13.343750953674316,-222.26403852188167,-10.375000953674316,-67.5,0.00043999999999999595,1.866359538370346,571483584_9
spiny,L5,0.00354,-48.281253814697266,44.375003814697266,-69.50000762939453,315.47549013151246,10.062500953674316,-90.52026701989047,29.125001907348633,-52.437503814697266,0.0009199999999998099,3.4851365392259774,526732858_19
spiny,L3,0.0037,-44.125,40.84375,-73.34375,316.7092764634124,3.187500238418579,-101.6143554136305,-15.718750953674316,-55.34375,0.0008599999999998609,3.116776907890803,611915585_20
spiny,L3,0.00338,-50.937503814697266,50.34375,-71.46875762939453,414.96297257771937,-0.875,-88.29170366954384,-17.90625,-52.656253814697266,0.0009599999999998499,4.699908998594401,537261100_25
spiny,L5,0.00324,-46.218753814697266,48.03125,-64.18750762939453,379.47383349096896,-2.406250238418579,-79.51379694521442,34.250003814697266,-52.437503814697266,0.0009999999999998899,4.772427529179988,528025071_17
spiny,L3,0.0037,-40.062503814697266,33.125003814697266,-74.15625762939453,238.31823690646175,-0.6562500596046448,-100.5586936646695,-7.6875,-53.75,0.001000000000000112,2.369941655180759,529822280_21
